"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","So sánh Short Polling, Long Polling, SSE và WebSocket về hiệu suất và bandwidth?","","Websocket","Short Polling: nhiều request thừa, tốn bandwidth nhất. Long Polling: ít request hơn nhưng vẫn tốn (mở/đóng connection). SSE: hiệu quả cho server-push. WebSocket: hiệu quả nhất (1 connection, hai chiều).","Tất cả đều có hiệu suất giống nhau","Short Polling tốn nhất → Long Polling → SSE → WebSocket hiệu quả nhất","WebSocket tốn bandwidth nhất","Short Polling hiệu quả nhất","2"
"2","Trong WebSocket, frame là gì?","","Websocket","WebSocket data được gửi dưới dạng frame: có opcode (text/binary/close/ping/pong), payload length, masking key (client→server), payload data. Nhẹ hơn HTTP header rất nhiều.","Một trang HTML","Một kiểu hình ảnh","Đơn vị dữ liệu WebSocket có opcode, payload length, masking key — nhẹ hơn HTTP header nhiều","Một loại request","3"
"3","Heartbeat/Ping-Pong trong WebSocket dùng để làm gì?","","Websocket","Ping-Pong frame giữ kết nối sống (keep-alive), phát hiện kết nối chết (dead connection). Server gửi Ping → Client trả Pong. Nếu không nhận Pong → đóng kết nối.","Mã hóa dữ liệu","Nén dữ liệu","Tăng tốc truyền dữ liệu","Giữ kết nối sống (keep-alive) và phát hiện kết nối chết — Server Ping → Client Pong","4"
"4","Làm thế nào để xử lý reconnect khi WebSocket bị ngắt kết nối?","","Websocket","Implement exponential backoff: thử kết nối lại với thời gian chờ tăng dần (1s, 2s, 4s...). Lưu messages offline và gửi lại khi reconnect. Thông báo UI trạng thái kết nối cho user.","Reload toàn bộ trang","Chuyển sang HTTP","Không cần xử lý vì WebSocket không bao giờ ngắt","Exponential backoff reconnect, lưu messages offline, thông báo trạng thái cho user","4"
"5","WebSocket có thể gửi cả text và binary data. Khi nào nên dùng binary?","","Websocket","Binary (ArrayBuffer/Blob) khi: gửi file/ảnh/audio, dữ liệu đã serialize (Protocol Buffers/MessagePack), cần tiết kiệm bandwidth. Text (JSON) khi: structured data, debugging dễ, tương thích cao.","Luôn dùng text","Luôn dùng binary","Binary cho file/media/serialized data tiết kiệm bandwidth; Text (JSON) cho structured data dễ debug","Không có sự khác biệt","3"
"6","Một ứng dụng chat cần gửi typing indicator (đang gõ) real-time. Nên dùng kỹ thuật nào?","","Websocket","WebSocket vì: hai chiều (client gửi typing event, server broadcast cho users khác), low latency, không cần tạo request mới mỗi lần. Kết hợp debounce/throttle để giảm event frequency.","HTTP POST mỗi ký tự","WebSocket vì hai chiều và low latency, kết hợp debounce/throttle giảm event frequency","Email notification","Short Polling mỗi 100ms","2"
"7","Làm thế nào để scale WebSocket server khi có hàng triệu concurrent connections?","","Websocket","Horizontal scaling: nhiều WebSocket server đằng sau load balancer (sticky sessions). Pub/Sub (Redis/Kafka) để đồng bộ messages giữa servers. Connection manager để track user↔server mapping.","Horizontal scaling + Pub/Sub (Redis/Kafka) đồng bộ giữa servers + sticky session load balancer","Chỉ dùng 1 server mạnh","Giới hạn user xuống 100","Chuyển sang HTTP","1"
"8","WebSocket security: những rủi ro nào cần xử lý?","","Websocket","Cross-Site WebSocket Hijacking (CSWSH), DoS (quá nhiều connections), data injection. Phòng chống: validate Origin header, authenticate khi handshake, rate limiting, input validation, dùng wss://.","CSWSH, DoS, data injection — phòng chống bằng validate Origin, authenticate handshake, rate limiting, wss://","WebSocket không có rủi ro bảo mật","Chỉ cần dùng wss:// là đủ","Dùng firewall là đủ","1"
"9","Một ứng dụng collaborative document editing (như Google Docs) cần đồng bộ thay đổi real-time giữa nhiều user. Ngoài WebSocket, cần thêm gì?","","Websocket","Cần Operational Transformation (OT) hoặc CRDT (Conflict-free Replicated Data Types) để xử lý conflict khi nhiều user edit cùng lúc. WebSocket chỉ là transport layer.","Chỉ cần WebSocket là đủ","WebSocket + OT (Operational Transformation) hoặc CRDT để xử lý conflict khi nhiều user edit cùng lúc","Dùng Long Polling","Dùng database locking","2"
"10","Multiplexing trong WebSocket là gì và khi nào cần?","","Websocket","Multiplexing: dùng 1 WebSocket connection cho nhiều logical channels/topics (thay vì mở nhiều connections). Giảm resource trên server. Implement bằng protocol trên application layer (channel ID trong message).","Dùng 1 connection cho nhiều logical channels — giảm resource, implement bằng channel ID trong message","Mở nhiều WebSocket connections","Nén dữ liệu WebSocket","Mã hóa dữ liệu","1"
