"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong sơ đồ Use Case, một Actor có thể kế thừa (Generalization) từ một Actor khác không và ý nghĩa là gì?","","BA Process","Actor Generalization cho phép thiết lập phân quyền. Ví dụ: Admin kế thừa từ User, nghĩa là Admin tự động có quyền thực hiện tất cả Use Case mà User được phép làm.","Có — Actor con sẽ thừa hưởng toàn bộ quyền tương tác với các Use Case của Actor cha","Không — Actor chỉ là người dùng bên ngoài nên không có quan hệ kế thừa","Có — nhưng chỉ áp dụng nếu Actor cha là một hệ thống phần cứng khác","Có — nhưng Actor con bắt buộc phải ghi đè (override) tất cả Use Case của Actor cha","1"
"2","Khi viết tài liệu mô tả chi tiết Use Case (Use Case Specification), phần ""Pre-conditions"" và ""Post-conditions"" định nghĩa điều gì?","","BA Process","Pre-condition thiết lập bối cảnh cần thiết (ví dụ: Người dùng đã đăng nhập). Post-condition đảm bảo dữ liệu/hệ thống đạt trạng thái mong muốn sau khi Use Case chạy xong (ví dụ: Đơn hàng được tạo và lưu vào DB).","Pre-conditions: Điều kiện hệ thống bắt buộc phải thỏa mãn TRƯỚC KHI Use Case được kích hoạt; Post-conditions: Trạng thái hệ thống đạt được SAU KHI Use Case hoàn thành thành công","Pre-conditions: Các bước nhập dữ liệu của người dùng; Post-conditions: Các thông báo lỗi hiển thị trên màn hình","Pre-conditions: Cấu hình phần cứng tối thiểu; Post-conditions: Cấu hình phần mềm khuyên dùng","Pre-conditions: Cuộc họp chuẩn bị yêu cầu; Post-conditions: Cuộc họp nghiệm thu bàn giao tính năng","1"
"3","Sự khác biệt giữa Luồng cơ bản (Basic Flow), Luồng thay thế (Alternative Flow) và Luồng lỗi (Exception Flow) trong tài liệu đặc tả Use Case là gì?","","BA Process","Basic Flow đi thẳng đến mục tiêu thành công. Alternative Flow cũng dẫn đến thành công nhưng qua các bước khác. Exception Flow xử lý các lỗi phát sinh ngăn cản đạt mục tiêu Use Case.","Basic: Luồng thành công chính (Happy Path); Alternative: Các luồng thành công khác; Exception: Luồng xử lý lỗi/ngoại lệ dừng hệ thống","Basic: Luồng dành cho User; Alternative: Luồng dành cho Admin; Exception: Luồng dành cho Developer","Basic: Thiết kế giao diện; Alternative: Cấu trúc cơ sở dữ liệu; Exception: Kịch bản kiểm thử","Basic: Lập trình Frontend; Alternative: Lập trình Backend; Exception: Cấu hình Deploy server","1"
"4","Trong sơ đồ Use Case, nếu một Actor kết nối với một Use Case nằm ngoài phạm vi System Boundary thì lỗi thiết kế nào đang xảy ra?","","BA Process","System Boundary bao quanh các tính năng hệ thống xây dựng. Use Case nằm ngoài đường biên không thuộc phạm vi dự án, do đó vẽ kết nối ra ngoài là sai thiết kế.","Không có lỗi vì Actor có thể tương tác với bất kỳ đối tượng nào","Lỗi vi phạm ranh giới hệ thống — mọi Use Case của hệ thống phát triển bắt buộc phải nằm TRONG System Boundary; Actor bắt buộc nằm NGOÀI","Lỗi thiếu quan hệ kế thừa giữa các Use Case tương ứng","Lỗi sử dụng sai ký hiệu Actor (người que) thay cho ký hiệu hệ thống","2"
"5","Để viết một tài liệu SRS đạt chuẩn chất lượng theo chuẩn IEEE 830, cấu trúc tài liệu bắt buộc phải bao gồm những phần chính nào sau đây?","","BA Process","Chuẩn IEEE 830 quy định cấu trúc SRS chuẩn gồm 3 phần chính: Giới thiệu dự án, Mô tả tổng quan kiến trúc và đặc tả chi tiết các yêu cầu kỹ thuật.","Introduction (Giới thiệu) - Overall Description (Mô tả tổng quan) - Specific Requirements (Yêu cầu chi tiết hệ thống)","Database Schema (Sơ đồ DB) - API List (Danh sách API) - Source Code Structure (Cấu trúc code)","User List (Danh sách user) - Project Budget (Ngân sách) - Gantt Chart (Tiến độ dự án)","Bug Report (Báo cáo lỗi) - Test Cases (Kịch bản test) - User Manual (Hướng dẫn sử dụng)","1"
"6","Trong giai đoạn chuẩn bị cho UAT, nếu khách hàng yêu cầu kiểm thử các kịch bản không hề có trong tài liệu SRS đã thống nhất từ trước, BA nên ứng phó ra sao?","","BA Process","UAT nghiệm thu dựa trên scope đã thống nhất. Các yêu cầu mới phát sinh ngoài SRS phải đi qua quy trình Change Request để tránh phình to phạm vi dự án một cách mất kiểm soát.","Đồng ý bổ sung ngay lập tức vào kịch bản UAT và yêu cầu Dev code gấp để kịp nghiệm thu — chiều lòng khách hàng","Từ chối và báo cáo khách hàng tự chịu trách nhiệm nếu không nghiệm thu được — đối đầu trực tiếp","Ghi nhận yêu cầu mới, thực hiện quy trình phân tích thay đổi (Change Request), báo cáo PM/PO để đánh giá ngân sách/tiến độ trước khi quyết định bổ sung — tuân thủ quy trình kiểm soát phạm vi","Xóa bỏ hoàn toàn tính năng đó khỏi danh sách bàn giao để tránh rắc rối kiểm thử — giảm thiểu rủi ro tiêu cực","3"
"7","Khi viết tài liệu đặc tả API nghiệp vụ cho đội ngũ phát triển Frontend và Backend, thông tin nào sau đây là quan trọng nhất BA cần cung cấp?","","BA Process","Đặc tả API của BA đóng vai trò là giao kèo tích hợp (Contract) giữa FE và BE. Cần chỉ rõ URL, method, cấu trúc JSON đầu vào và đầu ra để hai bên phát triển song song.","Endpoint URL, HTTP Method (GET/POST/...), Request Payload mẫu, và Response Payload mẫu kèm mô tả ý nghĩa các trường dữ liệu","Cú pháp viết câu lệnh SQL SELECT/INSERT chi tiết để truy vấn vào database","Tên biến và kiểu cấu trúc dữ liệu cụ thể trong code Java/NodeJS của backend","Màu sắc và khoảng cách padding của button kích hoạt API trên giao diện web","1"
"8","Trong sơ đồ Use Case, sự khác biệt giữa quan hệ ""Association"" và quan hệ ""Dependency"" (`&lt;&lt;include&gt;&gt;`/`&lt;&lt;extend&gt;&gt;`) là gì?","","BA Process","Đường Association (nét liền không mũi tên) kết nối Actor với Use Case để chỉ ra sự tương tác. Đường nét đứt có mũi tên (`&lt;&lt;include&gt;&gt;`/`&lt;&lt;extend&gt;&gt;`) chỉ sự phụ thuộc logic giữa các Use Case.","Association kết nối giữa Actor và Use Case; Dependency biểu thị mối quan hệ phụ thuộc giữa các Use Case với nhau","Association kết nối các Actor với nhau; Dependency kết nối các Use Case với nhau","Association là bắt buộc; Dependency là tùy chọn trong mọi trường hợp thiết kế","Association dùng cho cơ sở dữ liệu; Dependency dùng cho lập trình hướng đối tượng","1"
"9","Khi tổ chức buổi họp nghiệm thu UAT, vai trò chủ chốt của BA trong buổi họp này là gì?","","BA Process","BA hỗ trợ điều phối UAT, giải thích nghiệp vụ, xác định xem lỗi phát sinh là Bug (sai SRS) hay CR (yêu cầu mới ngoài SRS) và lập biên bản nghiệm thu.","Lập trình trực tiếp sửa các lỗi phát sinh ngay tại cuộc họp để khách hàng nghiệm thu lại","Làm cầu nối hướng dẫn khách hàng thực hiện theo kịch bản UAT, ghi nhận kết quả nghiệm thu (Pass/Fail) và làm rõ các phản hồi/lỗi nghiệp vụ phát sinh","Chỉ trích kiểm thử viên của khách hàng nếu họ tìm ra lỗi của đội nhà phát triển","Thay mặt khách hàng ký biên bản nghiệm thu bàn giao dự án để đẩy nhanh tiến độ thanh toán","2"
"10","Trong tài liệu SRS, yêu cầu phi chức năng về tính tương thích (Compatibility) quy định điều gì?","","BA Process","Tính tương thích (Compatibility) quy định phần mềm phải chạy đúng trên các môi trường chỉ định (như Chrome, Safari, iOS, Android, Windows).","Khả năng phần mềm hoạt động ổn định trên các hệ điều hành, trình duyệt và cấu hình phần cứng khác nhau","Khả năng phần mềm tự động sao lưu dữ liệu dự phòng khi gặp sự cố phần cứng","Mức độ tương thích về mặt tính cách giữa các lập trình viên trong đội dự án","Khả năng chống lại các cuộc tấn công DDoS từ các tin tặc bên ngoài internet","1"
