"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","E-commerce app: attacker inject script vào product review, steal session cookies mọi user xem review. Loại XSS nào và phòng thế nào?","","Security","Stored XSS vì script lưu vào DB (review). Phòng: sanitize/escape output (HTML entities), CSP header, HttpOnly cookie (prevent JS access), input validation server-side.","Reflected XSS — phòng: validate URL parameters và redirect sanitization","SQL Injection — phòng: Prepared Statement và parameterized queries","Stored XSS — phòng: sanitize output, CSP header, HttpOnly cookies, input validation server-side","CSRF attack — phòng: CSRF token trong form và SameSite cookie","3"
"2","API authentication: OAuth 2.0 + JWT. Access Token bị steal từ XSS. Giảm thiệt hại thế nào?","","Security","Short-lived Access Token (5-15min giảm window of attack). Store tokens secure (HttpOnly cookie thay localStorage). Refresh Token rotation. Token revocation endpoint. CSP chặn XSS.","Disable JWT hoàn toàn dùng session-based auth — session không bị XSS steal","Short-lived Access Token + HttpOnly cookie + Refresh Token rotation + token revocation + CSP chặn XSS","Tăng Access Token expiry lên 30 ngày — giảm số lần refresh giảm attack surface","Lưu Access Token trong localStorage encrypted — attacker không đọc được","2"
"3","Hệ thống banking: user A transfer tiền. Attacker craft link khiến user A transfer tiền khi click. Tấn công gì và phòng thế nào?","","Security","CSRF: exploit authenticated session của user A thực hiện action không mong muốn. Phòng: anti-CSRF token (unique per form), SameSite=Strict cookie, verify Origin/Referer header, re-authentication cho sensitive actions.","XSS — phòng: sanitize input, CSP header, escape output trong page","CSRF — phòng: anti-CSRF token, SameSite cookie, verify Origin/Referer, re-auth cho sensitive actions","Session Hijacking — phòng: encrypt session ID, rotate session, IP binding","Phishing — phòng: 2FA, email verification, domain monitoring","2"
"4","Microservices API: service-to-service authentication. JWT hay mTLS?","","Security","JWT: lightweight, chứa claims, stateless, dễ implement. mTLS: mutual TLS — cả client và server verify certificates, stronger identity verification, no token management. Production: often mTLS cho internal, JWT cho external.","JWT chỉ cho user authentication; mTLS chỉ cho encryption — khác mục đích","JWT lightweight/stateless cho external; mTLS mutual certificate verification cho internal service-to-service","JWT và mTLS hoạt động giống nhau — chỉ khác ở performance overhead","mTLS deprecated; JWT là replacement cho mọi authentication use case","2"
"5","Rate limiting algorithm: Token Bucket vs Sliding Window Log. Trade-off nào?","","Security","Token Bucket: bursty traffic ok (tokens accumulate), memory efficient. Sliding Window Log: precise rate tracking per request, more memory (store timestamps). Token Bucket phổ biến hơn.","Token Bucket cho phép burst/memory efficient; Sliding Window precise tracking/more memory","Token Bucket chậm hơn Sliding Window vì cần calculate tokens mỗi request","Token Bucket chỉ cho API; Sliding Window chỉ cho database — phân chia theo use case","Token Bucket và Sliding Window cho kết quả giống nhau — chỉ khác implementation detail","1"
"6","SQL Injection: Second-Order Injection khác First-Order ở timing nào?","","Security","First-Order: payload execute NGAY khi submit (input → query → execute). Second-Order: payload LƯU vào DB trước, execute KHI data được đọc lại và dùng trong query khác (later time, different context).","First-Order execute ngay khi submit; Second-Order lưu DB rồi execute khi data đọc lại trong query khác","First-Order tấn công database; Second-Order tấn công application — khác target","First-Order qua form input; Second-Order qua URL parameters — khác injection point","First-Order bởi external attacker; Second-Order bởi internal user — khác threat actor","1"
"7","Zero Trust Security model khác Perimeter Security ở assumption nào?","","Security","Perimeter: trust everything INSIDE network (castle-and-moat). Zero Trust: NEVER trust, ALWAYS verify — mọi request phải authenticate/authorize bất kể origin. Microsegmentation, least privilege.","Zero Trust và Perimeter cho kết quả bảo mật giống nhau — chỉ khác terminology","Zero Trust không cần firewall; Perimeter không cần authentication — phân chia theo security layer","Zero Trust: never trust always verify mọi request bất kể origin; Perimeter: trust inside network","Zero Trust chỉ cho cloud; Perimeter chỉ cho on-premise — phân chia theo deployment","3"
"8","Secret management: Environment variables vs Vault (HashiCorp). Khi nào dùng gì?","","Security","Env vars: đơn giản, phù hợp non-sensitive config. Vault: encrypted storage, access control, audit log, secret rotation, dynamic secrets — cho production secrets (DB passwords, API keys, certificates).","Env vars cho non-sensitive config; Vault cho production secrets — encrypted, access control, rotation, audit","Env vars an toàn hơn Vault vì stored in memory không trên disk","Vault chỉ cho development; Env vars cho production — Vault overhead không cần production","Env vars và Vault cho security level giống nhau — chỉ khác management UI","1"
"9","Security headers: X-Frame-Options, X-Content-Type-Options, Strict-Transport-Security bảo vệ gì?","","Security","X-Frame-Options: chặn clickjacking (prevent iframe embedding). X-Content-Type-Options: chặn MIME sniffing. HSTS: force HTTPS (prevent SSL stripping). Mỗi header bảo vệ attack vector khác nhau.","Cả 3 headers đều chặn XSS — redundant nhưng defense in depth","Cả 3 headers đều optional không ảnh hưởng security — chỉ cho compliance","X-Frame-Options cho images; X-Content-Type-Options cho scripts; HSTS cho APIs","X-Frame-Options chặn clickjacking; X-Content-Type-Options chặn MIME sniffing; HSTS force HTTPS","4"
"10","Penetration testing vs Vulnerability Assessment. Scope và methodology khác nhau nào?","","Security","Vulnerability Assessment: SCAN tìm known vulnerabilities (automated tools, wide scope). Penetration Testing: EXPLOIT vulnerabilities (manual + automated, simulate real attack, deeper but narrower scope).","VA và PenTest là cùng activity — chỉ khác report format","VA chỉ cho network; PenTest chỉ cho application — phân chia theo target","VA manual testing; PenTest automated scanning — tên gọi ngược methodology","VA scan tìm known vulnerabilities (automated wide scope); PenTest exploit vulnerabilities (simulate attack deeper narrower)","4"
