"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","React là gì?","","React","React là thư viện JavaScript mã nguồn mở do Facebook phát triển, dùng để xây dựng giao diện người dùng (UI) theo mô hình component-based.","Một ngôn ngữ lập trình","Thư viện JavaScript để xây dựng giao diện người dùng theo mô hình component","Một hệ quản trị cơ sở dữ liệu","Một framework backend","2"
"2","JSX là gì?","","React","JSX (JavaScript XML) là cú pháp mở rộng cho JavaScript, cho phép viết code giống HTML trong JavaScript. JSX được biên dịch thành React.createElement() bởi Babel.","Một ngôn ngữ lập trình mới","Một thư viện CSS","Cú pháp mở rộng cho phép viết HTML-like code trong JavaScript, biên dịch thành React.createElement()","Một kiểu dữ liệu trong React","3"
"3","Props trong React là gì?","","React","Props (properties) là dữ liệu được truyền từ component cha sang component con, bất biến (immutable) - component con không thể thay đổi props nhận được.","Biến cục bộ trong component","Trạng thái nội bộ của component","Dữ liệu truyền từ component cha sang con, bất biến (read-only)","Một kiểu CSS đặc biệt","3"
"4","State trong React là gì?","","React","State là dữ liệu nội bộ của component, có thể thay đổi (mutable). Khi state thay đổi, component tự động re-render để cập nhật giao diện.","Dữ liệu nội bộ của component, có thể thay đổi và gây re-render khi thay đổi","Dữ liệu truyền từ cha sang con","Một kiểu CSS","Một biến toàn cục","1"
"5","Virtual DOM là gì?","","React","Virtual DOM là bản sao nhẹ (lightweight copy) của DOM thật trong bộ nhớ. React so sánh (diffing) Virtual DOM mới với cũ và chỉ cập nhật phần thay đổi vào DOM thật.","Một trình duyệt ảo","Bản sao nhẹ của DOM thật trong bộ nhớ, React dùng diffing để chỉ cập nhật phần thay đổi","Một cơ sở dữ liệu","Một server ảo","2"
"6","useState() trong React dùng để làm gì?","","React","useState() là React Hook cho phép function component có state. Trả về [giá_trị_hiện_tại, hàm_cập_nhật]. Ví dụ: const [count, setCount] = useState(0);","Tạo biến toàn cục","Cho phép function component có state, trả về [giá trị, hàm cập nhật]","Gọi API từ server","Tạo ref cho DOM element","2"
"7","Keys trong React dùng để làm gì?","","React","Keys giúp React xác định phần tử nào đã thay đổi, thêm hoặc xoá trong danh sách. Key phải duy nhất trong danh sách anh em (siblings) để tối ưu quá trình reconciliation.","Giúp React xác định phần tử thay đổi/thêm/xoá trong danh sách để tối ưu re-render","Mã hóa dữ liệu","Thay thế ID trong HTML","Tạo mật khẩu cho component","1"
"8","React Hooks là gì?","","React","Hooks là các hàm đặc biệt (useState, useEffect, useContext...) cho phép function component sử dụng state và các tính năng lifecycle mà trước đây chỉ class component có.","Một kiểu component mới","Một công cụ testing","Một thư viện routing","Các hàm đặc biệt cho phép function component dùng state và lifecycle features","4"
"9","Sự khác biệt giữa Class Component và Function Component là gì?","","React","Class Component: dùng class ES6, có this, lifecycle methods. Function Component: dùng hàm, đơn giản hơn, dùng Hooks cho state/lifecycle. Function Component được khuyến khích sử dụng.","Class dùng class ES6 và lifecycle methods; Function dùng hàm và Hooks — Function Component được khuyến khích","Class Component nhanh hơn Function Component","Cả hai hoàn toàn giống nhau","Function Component không hỗ trợ state","1"
"10","useEffect() trong React dùng để làm gì?","","React","useEffect() xử lý side effects trong function component: gọi API, đăng ký event listener, thao tác DOM. Chạy sau mỗi render (mặc định) hoặc theo dependency array.","Tạo state mới","Thay thế CSS","Tạo component con","Xử lý side effects: gọi API, đăng ký event listener, thao tác DOM","4"
