"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Yêu cầu kiểm thử một form đăng ký có trường nhập ""Mật khẩu"" quy định độ dài từ 8 đến 16 ký tự. Sử dụng kỹ thuật Phân tích giá trị biên (BVA), bộ giá trị kiểm thử nào sau đây là tối ưu nhất?","","Tester Methodology","Bộ BVA chuẩn cho khoảng [Min, Max] là: Min-1 (7), Min (8), Min+1 (9) và Max-1 (15), Max (16), Max+1 (17) để bao phủ đầy đủ các điểm ranh giới.","7, 8, 9, 15, 16, 17 ký tự — kiểm tra các điểm biên và sát biên hợp lệ/không hợp lệ","8, 12, 16 ký tự — kiểm tra giá trị tối thiểu, trung bình và tối đa","0, 8, 16, 100 ký tự — kiểm tra các giá trị cực trị ngẫu nhiên rộng","7, 8, 16, 17 ký tự — kiểm tra các giá trị ngay trên biên và ngay dưới biên","1"
"2","Khi dev báo cáo đã sửa xong một lỗi (status Resolved) và gửi lại bản build, quy trình re-test lỗi đó của QA diễn ra như thế nào?","","Tester Methodology","QA bắt buộc phải re-test trên bản build mới để xác minh bug thực sự đã được sửa, sau đó cập nhật trạng thái lỗi (Closed hoặc Reopen) tương ứng.","Chạy lại đúng các bước trong Bug Report trên bản build mới; nếu lỗi không còn thì đóng bug (Closed), nếu lỗi vẫn còn thì mở lại (Reopened)","Đóng ngay lỗi đó trên hệ thống vì dev đã xác nhận sửa xong trong code","Viết một test case hoàn toàn mới để kiểm tra một tính năng khác của hệ thống","Chạy lại toàn bộ kịch bản kiểm thử hiệu năng của hệ thống để xác thực tốc độ xử lý","1"
"3","Trong thiết kế test case bằng Kỹ thuật ""Bảng quyết định"" (Decision Table Testing), khi nào kỹ thuật này mang lại hiệu quả cao nhất?","","Tester Methodology","Bảng quyết định giúp hệ thống hóa các tổ hợp logic (T/F của các điều kiện) một cách đầy đủ, tránh bỏ sót các trường hợp nghiệp vụ phức tạp đan xen.","Khi tính năng có chứa nhiều luồng xử lý phức tạp kết hợp từ nhiều điều kiện đầu vào khác nhau để tạo ra các hành động đầu ra tương ứng","Khi cần kiểm thử hiệu năng tải trang web dưới tác động của hàng ngàn request cùng lúc","Khi cần kiểm tra khả năng tương thích của ứng dụng trên nhiều phiên bản hệ điều hành Android","Khi cần thiết kế các kịch bản kiểm thử tự động cho luồng thanh toán API","1"
"4","Sự khác biệt chính giữa kiểm thử ""Sanity Testing"" và kiểm thử ""Regression Testing"" là gì?","","Tester Methodology","Sanity testing là tập con của Regression testing, dùng để xác minh nhanh xem thay đổi/sửa lỗi cụ thể có hoạt động đúng logic hay không trước khi chạy hồi quy diện rộng.","Sanity test là kiểm tra nhanh, tập trung hẹp vào một chức năng vừa được sửa đổi; Regression test là kiểm tra rộng, bao quát toàn bộ hệ thống để phát hiện lỗi hồi quy","Sanity test do lập trình viên tự chạy; Regression test do kiểm thử viên chạy thủ công","Sanity test kiểm tra tính tương thích; Regression test kiểm tra tính hiệu năng hệ thống","Sanity test chỉ chạy được trên môi trường Production; Regression test chỉ chạy trên Local","1"
"5","Lỗi phát sinh: Ứng dụng crash (sập) ngay lập tức khi người dùng click vào nút thanh toán, không thể thực hiện được giao dịch. BA/QA đánh giá độ nghiêm trọng (Severity) và độ ưu tiên (Priority) của lỗi này thế nào?","","Tester Methodology","Lỗi crash tính năng chính (thanh toán) vi phạm nặng nề trải nghiệm người dùng và quy trình nghiệp vụ cốt lõi, do đó cần xếp vào Severity Critical và Priority High (sửa ngay lập tức).","Severity: Critical (Nghiêm trọng), Priority: High (Ưu tiên cao) — lỗi chặn chức năng cốt lõi của dự án và làm hỏng trải nghiệm người dùng ngay lập tức","Severity: Low, Priority: High — vì giao diện nút thanh toán vẫn hiển thị rất đẹp mắt","Severity: Critical, Priority: Low — vì khách hàng có thể dùng chuyển khoản thủ công thay thế","Severity: Medium, Priority: Medium — lỗi ở mức trung bình vì ứng dụng vẫn mở lại được","1"
"6","Quy trình kiểm thử ""State Transition Testing"" (Kiểm thử chuyển trạng thái) áp dụng tốt nhất cho loại hệ thống nào?","","Tester Methodology","Kiểm thử chuyển trạng thái giúp bao phủ đầy đủ các luồng chuyển dịch trạng thái hợp lệ và phát hiện các luồng chuyển dịch sai logic (ví dụ: Đơn hàng đã hủy không được phép chuyển sang Đang giao).","Hệ thống có các đối tượng thay đổi trạng thái tuần tự dựa trên các sự kiện kích hoạt cụ thể (ví dụ: Vòng đời đơn hàng từ Chờ duyệt -&gt; Đang giao -&gt; Thành công)","Hệ thống kho báo cáo tĩnh chỉ hiển thị dữ liệu thô dạng bảng của doanh nghiệp","Hệ thống landing page giới thiệu sản phẩm chỉ chứa văn bản thô và hình ảnh quảng cáo","Các ứng dụng tính toán công thức toán học độc lập không lưu trữ dữ liệu","1"
"7","Khái niệm ""Exploratory Testing"" (Kiểm thử khám phá) khác gì so với kiểm thử dựa trên kịch bản (Scripted Testing) thông thường?","","Tester Methodology","Exploratory testing phát huy tính sáng tạo và kinh nghiệm của QA để tìm ra các bug sâu, góc khuất ngoài kịch bản chuẩn, thường thực hiện sau khi đã chạy hết test case chuẩn.","Exploratory testing là quá trình thiết kế test case, thực thi test và học hỏi hệ thống diễn ra song song mà không cần kịch bản viết sẵn, dựa nhiều vào kinh nghiệm của QA","Exploratory testing bắt buộc phải có phần mềm tự động quét và tìm lỗi tự động cho QA","Exploratory testing chỉ dành cho những người chưa từng biết gì về dự án chạy thử phần mềm","Exploratory testing là việc QA tự đọc code của lập trình viên để tìm ra các lỗi cú pháp","1"
"8","Trong bối cảnh Agile, hoạt động kiểm thử nên được bắt đầu vào thời điểm nào để tối ưu hóa chất lượng dự án?","","Tester Methodology","Nguyên lý ""Kiểm thử sớm"" (Early Testing) giúp giảm thiểu chi phí sửa lỗi. Phát hiện lỗi logic trên tài liệu yêu cầu (SRS) rẻ hơn gấp hàng chục lần so với sửa lỗi sau khi dev đã code xong.","Bắt đầu ngay từ giai đoạn khơi gợi và phân tích yêu cầu (Early Testing) — review tài liệu yêu cầu cùng BA để phát hiện sớm các lỗi logic nghiệp vụ trước khi code","Bắt đầu khi lập trình viên đã hoàn thành 100% mã nguồn và bàn giao toàn bộ hệ thống sang QA","Bắt đầu sau khi khách hàng đã thực hiện xong kiểm thử chấp nhận UAT trên Production","Bắt đầu vào ngày cuối cùng của Sprint phát triển để kiểm tra nhanh giao diện ứng dụng","1"
"9","Khi viết kịch bản kiểm thử (Test Case), tại sao việc quy định rõ ""Expected Result"" (Kết quả mong đợi) là bắt buộc?","","Tester Methodology","Expected Result là tiêu chuẩn nghiệm nghiệm thu. Không có kết quả mong đợi rõ ràng, QA sẽ không thể đánh giá chính xác hành vi hệ thống là đúng hay sai.","Để cung cấp tiêu chuẩn so sánh khách quan với kết quả thực tế khi chạy test, giúp xác định chính xác ca kiểm thử đó Pass hay Fail","Để hướng dẫn lập trình viên cách viết các câu lệnh điều kiện rẽ nhánh trong code","Để tự động hóa việc tính toán thời gian phản hồi của máy chủ ứng dụng di động","Để hiển thị thông tin hướng dẫn sử dụng sản phẩm cho người dùng cuối","1"
"10","Kiểm thử ""Ad-hoc Testing"" có đặc trưng nào dưới đây?","","Tester Methodology","Ad-hoc testing là quá trình test ngẫu hứng, tự do không theo khuôn mẫu để nhanh chóng tìm ra các lỗi nghiêm trọng mà test case thông thường bỏ sót.","Là kiểm thử ngẫu nhiên, không lập kế hoạch, không có tài liệu test case và diễn ra bất chợt để tìm bug nhanh","Là kiểm thử bắt buộc phải sử dụng các công cụ tự động hóa như Selenium hoặc JMeter","Là kiểm thử chỉ tập trung vào việc đọc cấu trúc cơ sở dữ liệu quan hệ SQL","Là kiểm thử do khách hàng thực hiện trên môi trường Production để nghiệm thu","1"
