"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một hệ thống trading platform cần hiển thị giá cổ phiếu real-time cho 50.000 user đồng thời. Mỗi cổ phiếu cập nhật mỗi 100ms. Kiến trúc nào phù hợp nhất?","","Websocket","WebSocket + Pub/Sub pattern: server nhận data từ stock feed → publish lên Redis/Kafka → nhiều WS servers subscribe → push đến clients. Horizontal scaling + connection pooling.","HTTP polling mỗi 100ms cho 50k users","Long Polling mỗi giây","SSE cho tất cả users","WebSocket + Pub/Sub (Redis/Kafka) + horizontal scaling: server nhận data → publish → WS servers push đến clients","4"
"2","Một ứng dụng mobile game multiplayer cần đồng bộ vị trí 100 players trên bản đồ với độ trễ <50ms. Thách thức lớn nhất và giải pháp?","","Websocket","Thách thức: bandwidth (100 players × 60fps = 6000 updates/s). Giải pháp: WebSocket binary protocol, delta compression (chỉ gửi thay đổi), interpolation phía client, spatial partitioning (chỉ gửi data của players gần nhau).","WebSocket binary + delta compression + client interpolation + spatial partitioning chỉ gửi data players gần","Gửi toàn bộ state mỗi frame","Dùng HTTP REST API","Giảm số player xuống 10","1"
"3","Khi WebSocket server cần push notification đến 1 user cụ thể trong hệ thống có 5 WS servers, làm thế nào để tìm đúng server?","","Websocket","Connection registry (Redis): lưu mapping userId → serverId. Khi cần push → query Redis → tìm server → gửi message qua internal pub/sub channel đến đúng server → server push đến client.","Gửi đến tất cả 5 servers","Connection registry (Redis) lưu userId→serverId mapping, query để tìm đúng server rồi gửi qua internal pub/sub","Random chọn 1 server","Yêu cầu user refresh trang","2"
"4","Một ứng dụng IoT nhận dữ liệu từ 100.000 sensors qua WebSocket. Mỗi sensor gửi data mỗi giây. Server xử lý không kịp. Giải pháp kiến trúc?","","Websocket","Message queue (Kafka/RabbitMQ) làm buffer giữa WS servers và processing layer. Backpressure mechanism. Batch processing. Horizontal scaling WS servers. Data aggregation trước khi lưu DB.","Tăng RAM server lên 1TB","Chuyển sang HTTP polling","Giảm sensors xuống 1000","Message queue (Kafka) buffer giữa WS và processing, backpressure, batch processing, horizontal scaling","4"
"5","WebSocket connection bị firewall/proxy corporate chặn. Giải pháp fallback nào phù hợp?","","Websocket","Graceful degradation: thử WS trước → nếu fail → fallback SSE → nếu fail → Long Polling. Libraries như Socket.IO tự động xử lý fallback. Dùng wss:// (port 443) vì ít bị chặn hơn ws://.","Không có giải pháp","Graceful degradation: WS → SSE → Long Polling, dùng wss:// port 443 — Socket.IO tự xử lý fallback","Yêu cầu IT mở firewall","Chỉ dùng HTTP","2"
"6","Trong một ứng dụng auction (đấu giá) real-time, nhiều user đặt giá cùng lúc. Làm sao đảm bảo thứ tự bid chính xác và không mất bid?","","Websocket","Server-side ordering: mỗi bid có timestamp server (không dùng client timestamp). Message queue đảm bảo FIFO processing. Optimistic locking trên database. Broadcast kết quả sau mỗi bid thành công.","Server timestamp + Message queue FIFO + Optimistic locking DB + Broadcast kết quả sau mỗi bid thành công","Dùng client timestamp","Để client tự sắp xếp","Chỉ cho phép 1 user bid cùng lúc","1"
"7","Một ứng dụng chat có chức năng typing indicator, read receipts, và online status. Thiết kế WebSocket message protocol như thế nào?","","Websocket","Dùng message type trong protocol: {type: 'message'|'typing'|'read'|'presence', payload: {...}}. Channel-based routing. Priority: message > read > typing > presence. Batch typing/presence events.","Gửi tất cả qua 1 format","Dùng HTTP riêng cho mỗi chức năng","Message type protocol: {type, payload}, channel-based routing, priority ordering, batch events cho typing/presence","Chỉ hỗ trợ chat text","3"
"8","Load balancer cho WebSocket servers cần cấu hình khác HTTP thông thường ở điểm nào?","","Websocket","WebSocket cần: sticky sessions (connection phải luôn đến cùng server), HTTP Upgrade support, connection timeout dài hơn HTTP, health check khác (WS ping thay HTTP GET).","Không cần cấu hình khác","Chỉ cần round-robin","Sticky sessions + HTTP Upgrade support + connection timeout dài + WS-specific health check","Load balancer không hỗ trợ WebSocket","3"
"9","Một hệ thống notification cần gửi message đến user offline (user sẽ nhận khi online lại). WebSocket không đủ, cần thêm gì?","","Websocket","Persistent message store (DB/Redis): lưu message khi user offline. Khi user reconnect → query undelivered messages → push qua WebSocket. Dùng message ID để đảm bảo exactly-once delivery.","Persistent message store (DB/Redis) + query undelivered khi reconnect + message ID cho exactly-once delivery","WebSocket tự lưu message khi offline","Dùng email thay thế","Không thể gửi message cho user offline","1"
"10","So sánh Socket.IO và native WebSocket API. Khi nào nên dùng cái nào?","","Websocket","Native WS: nhẹ, chuẩn, kiểm soát hoàn toàn, nhưng phải tự xử lý reconnect/fallback/rooms. Socket.IO: auto reconnect, fallback, rooms/namespaces, acknowledgements, nhưng nặng hơn và cần client lib riêng.","Luôn dùng Socket.IO","Native WS: nhẹ/chuẩn/kiểm soát hoàn toàn; Socket.IO: auto reconnect/fallback/rooms — nhưng nặng hơn, cần client lib","Luôn dùng native WS","Cả hai đều giống nhau","2"
