"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Danh sách 1000 sản phẩm re-render toàn bộ khi một item thay đổi. Tổ hợp kỹ thuật nào tối ưu nhất?","","React","React.memo() ngăn re-render khi props không đổi. useMemo/useCallback memoize values/callbacks. Virtualization (react-window/react-virtuoso) chỉ render items trong viewport.","Chuyển sang class component vì PureComponent tự động shallow compare nhanh hơn function component","useMemo cho tất cả biến và useCallback cho tất cả hàm trong component mà không cần React.memo()","React.memo() kết hợp useMemo/useCallback cho memoization và virtualization cho danh sách dài","shouldComponentUpdate return false cho tất cả component con kết hợp forceUpdate khi cần","3"
"2","App lớn cần share user auth state. Khi nào dùng Context API vs Redux?","","React","Context phù hợp cho state ít thay đổi (theme, auth, locale) vì mọi consumer re-render khi value đổi. Redux phù hợp cho state phức tạp, thay đổi thường xuyên, cần middleware/devtools.","Context API cho state ít thay đổi (auth, theme) vì consumer re-render khi value đổi; Redux cho state phức tạp cần middleware","Context API cho state thay đổi thường xuyên vì nó nhanh hơn; Redux chỉ cho state đơn giản","Context API và Redux hiệu suất giống nhau, chỉ khác cú pháp — chọn cái nào quen hơn","Context API cho server state (API data); Redux cho client state (UI state) — chia theo nguồn dữ liệu","1"
"3","useEffect gọi API nhưng gặp lỗi 'state update on unmounted component'. Nguyên nhân và cách sửa?","","React","Component unmount trước khi API response về → setState trên unmounted component gây warning. Sửa: cleanup function với AbortController để cancel pending request khi unmount.","API endpoint trả về response quá lớn làm tràn bộ nhớ component state","Dependency array thiếu biến nên useEffect không chạy lại khi cần thiết","React strict mode chạy effect hai lần trong development gây duplicate API calls","Component unmount trước khi API response — dùng cleanup với AbortController cancel request khi unmount","4"
"4","useRef nên dùng thay useState trong trường hợp nào?","","React","useRef: giá trị thay đổi KHÔNG cần re-render (DOM refs, timer IDs, previous values, instance variables). useState: giá trị thay đổi CẦN re-render để cập nhật UI.","useRef cho giá trị hiển thị trên UI cần update ngay; useState cho giá trị internal không hiển thị","useRef cho giá trị thay đổi không cần re-render (DOM refs, timer IDs); useState cho giá trị cần re-render UI","useRef chỉ dùng để lưu DOM element reference; useState dùng cho mọi loại dữ liệu khác","useRef cho dữ liệu từ API (server state); useState cho dữ liệu người dùng nhập (client state)","2"
"5","Trang chi tiết sản phẩm cần fetch data khi productId thay đổi. useEffect nên được cấu hình ra sao?","","React","useEffect với [productId] trong deps: chạy lại khi productId đổi. Cleanup function dùng AbortController cancel request cũ để tránh race condition khi user chuyển sản phẩm nhanh.","useEffect với deps rỗng [] và dùng productId từ closure — cleanup clear toàn bộ state về initial","useEffect không có deps array để chạy mỗi render — dùng if condition bên trong kiểm tra productId","useEffect với [productId] trong deps, cleanup cancel request cũ bằng AbortController tránh race condition","useEffect với [productId] nhưng không cần cleanup vì browser tự cancel request khi re-render","3"
"6","Error Boundary trong React bắt được và không bắt được loại lỗi nào?","","React","Error Boundary bắt lỗi trong render, lifecycle methods, constructor của component tree con. KHÔNG bắt: event handlers, async code (setTimeout, Promise), server-side rendering, lỗi chính Error Boundary.","Bắt mọi loại lỗi JavaScript bao gồm event handlers, async code và network errors","Bắt lỗi render/lifecycle/constructor của component con; KHÔNG bắt event handlers, async code, SSR","Chỉ bắt lỗi syntax error trong JSX; không bắt runtime errors hay logic errors","Chỉ bắt lỗi trong production build; development mode bypass Error Boundary để hiện full stack trace","2"
"7","Form wizard nhiều bước cần validate và lưu dữ liệu giữa các bước. State management nào phù hợp?","","React","useReducer phù hợp: state phức tạp nhiều fields, logic chuyển step rõ ràng qua action types (NEXT/PREV/SET_FIELD), dễ validate mỗi step. Hoặc React Hook Form cho form phức tạp.","useState riêng cho mỗi field ở mỗi step, reset khi chuyển step và lưu vào localStorage","useReducer cho state phức tạp với action types rõ ràng (NEXT/PREV/SET_FIELD), hoặc React Hook Form","useContext với separate provider cho mỗi step để isolate state và tránh cross-step interference","useRef cho tất cả form data vì không cần re-render khi user nhập — chỉ validate khi submit","2"
"8","React.lazy() và Suspense giải quyết vấn đề gì về performance?","","React","Code splitting: lazy() dynamic import component chỉ khi cần → giảm initial bundle size. Suspense hiển thị fallback UI (loading) trong khi chunk đang download.","Lazy load hình ảnh và video trong component — Suspense hiển thị placeholder image trong khi tải","Tree-shaking loại bỏ unused code khỏi bundle — Suspense chờ tree-shaking hoàn tất trước render","Dynamic import component chỉ khi cần giảm initial bundle — Suspense hiển thị fallback trong khi chunk tải","Pre-fetch tất cả route components khi app khởi động — Suspense cache components đã fetch để tái sử dụng","3"
"9","Tại sao dùng array index làm key gây bug khi danh sách thêm/xoá/sắp xếp lại?","","React","Khi thứ tự thay đổi, index thay đổi → React mapping key→component bị sai → reconciliation sai → mất state component con, hiệu suất giảm vì re-mount thay vì re-order.","Vì index là số 0-based nhưng React key yêu cầu 1-based numbering gây off-by-one error","Vì khi thứ tự thay đổi index thay đổi → React mapping key-component bị sai → mất state và re-mount","Vì index trùng lặp giữa các list khác nhau trong cùng component gây React warning","Vì index là giá trị tạm thời bị garbage collected khi component re-render gây undefined key","2"
"10","SPA React mất state khi chuyển route. Cách nào giữ state khi quay lại route cũ?","","React","Lifting state lên global store (Redux/Zustand/Context) persist qua route changes. React Query/SWR cache API data. sessionStorage cho critical data. Route state via location state.","Dùng React.memo() wrap route component để ngăn unmount khi chuyển route","Dùng display: none CSS ẩn route component thay vì unmount để giữ nguyên state trong DOM","Lifting state lên global store (Redux/Context), cache API data (React Query), hoặc sessionStorage","Dùng window.history.pushState() lưu state vào browser history stack tự động","3"
