"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Cho bảng Sales (SaleID, ProductID, Amount). Bạn cần viết một truy vấn tính tổng doanh thu lũy kế (running total) của từng sản phẩm theo thời gian. Sử dụng cú pháp Window Function nào?","","DA SQL","Cú pháp `PARTITION BY ProductID ORDER BY SaleID` cùng khung dữ liệu mặc định `ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW` giúp tích lũy giá trị Amount từ dòng đầu tiên đến dòng hiện tại của từng sản phẩm.","SUM(Amount) OVER (PARTITION BY ProductID ORDER BY SaleID ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) — tính tổng lũy kế tích lũy qua từng dòng","SUM(Amount) OVER (PARTITION BY ProductID) — tính tổng doanh thu của sản phẩm đó cố định cho toàn bộ các dòng","SUM(Amount) OVER (ORDER BY SaleID) — tính tổng doanh thu lũy kế của toàn bộ cửa hàng không phân chia sản phẩm","SUM(Amount) GROUP BY ProductID — câu lệnh sai cú pháp vì không thể dùng GROUP BY cùng OVER","1"
"2","Truy vấn SQL thực hiện quét toàn bộ bảng (Table Scan) thay vì quét Index (Index Scan/Seek). Nguyên nhân nào sau đây có khả năng cao nhất gây ra hiện tượng này?","","DA SQL","Khi áp dụng hàm lên cột (e.g. `YEAR(date)`) hoặc dùng so sánh phủ định, Database Optimizer không thể sử dụng cây Index đã dựng sẵn trên giá trị thô của cột đó, buộc phải quét toàn bộ bảng.","Sử dụng phép so sánh phủ định `!=` hoặc toán tử `OR` trên các cột có chỉ mục, hoặc dùng hàm xử lý chuỗi trên cột trong mệnh đề WHERE (ví dụ: `YEAR(created_date) = 2026`)","Sử dụng phép JOIN giữa hai bảng có kích thước dữ liệu chênh lệch nhau quá lớn","Sử dụng từ khóa DISTINCT ở đầu câu lệnh SELECT trên một bảng có khóa chính","Đặt tên bảng quá dài hoặc chứa các ký tự đặc biệt như dấu gạch dưới '_'","1"
"3","Một câu lệnh SELECT có chứa cả WHERE, GROUP BY, HAVING, và Window Function. Thứ tự thực thi logic (Logical Query Processing) của hệ quản trị cơ sở dữ liệu là gì?","","DA SQL","SQL Engine xử lý FROM trước để lấy nguồn, lọc WHERE, gom nhóm GROUP BY, lọc nhóm HAVING, sau đó mới SELECT (tính toán các cột và Window Functions), và cuối cùng sắp xếp hiển thị bằng ORDER BY.","FROM → WHERE → GROUP BY → HAVING → SELECT (bao gồm Window Function) → ORDER BY — thứ tự thực thi chuẩn của SQL engine","FROM → SELECT → WHERE → GROUP BY → HAVING → ORDER BY — thứ tự thực thi từ trái qua phải của câu lệnh","WHERE → FROM → GROUP BY → HAVING → SELECT → Window Function → ORDER BY — thứ tự ưu tiên lọc dữ liệu nguồn trước","FROM → GROUP BY → HAVING → WHERE → Window Function → SELECT → ORDER BY — thứ tự ưu tiên gom nhóm trước","1"
"4","Để thiết kế cơ sở dữ liệu cho hệ thống phân tích báo cáo (OLAP) có tốc độ truy vấn đọc dữ liệu cực nhanh và cấu trúc đơn giản dễ hiểu cho BA/DA sử dụng, ta nên chọn mô hình nào?","","DA SQL","Star Schema tối ưu hóa cho việc đọc và phân tích dữ liệu nhanh trong kho dữ liệu (Data Warehouse). Các bảng chiều (Dim) được phi chuẩn hóa (denormalized) để tránh JOIN nhiều cấp như Snowflake hay 3NF.","Mô hình Lược đồ hình sao (Star Schema) gồm các bảng Fact ở giữa kết nối trực tiếp với các bảng Dimension xung quanh — giảm thiểu các phép nối bảng phức tạp","Mô hình Lược đồ bông tuyết (Snowflake Schema) chuẩn hóa tối đa các bảng Dimension để tránh dư thừa dữ liệu","Mô hình cơ sở dữ liệu phi quan hệ (NoSQL) dạng Document-based để lưu trữ dữ liệu dưới dạng các file JSON độc lập","Mô hình chuẩn hóa dạng chuẩn 3 (3NF) để đảm bảo không tồn tại bất kỳ sự dư thừa dữ liệu nào","1"
"5","Cho câu truy vấn: `SELECT * FROM Orders o WHERE EXISTS (SELECT 1 FROM Customers c WHERE c.CustomerID = o.CustomerID AND c.Country = 'Vietnam');` Truy vấn con này thuộc loại nào và hoạt động ra sao?","","DA SQL","Do truy vấn con tham chiếu đến cột `o.CustomerID` của bảng ngoài, đây là Correlated Subquery. `EXISTS` tối ưu hiệu năng vì nó trả về TRUE và dừng quét ngay khi tìm thấy dòng đầu tiên thỏa mãn.","Correlated Subquery (truy vấn con tương quan) — chạy lặp lại cho từng dòng của bảng ngoài Orders, dừng ngay khi tìm thấy bản ghi khớp đầu tiên (EXISTS)","Self-Join Subquery (tự nối) — kết nối bảng Orders với chính nó để lọc các bản ghi trùng lặp","Independent Subquery (truy vấn con độc lập) — chỉ chạy duy nhất một lần để lấy danh sách khách hàng Việt Nam trước khi chạy câu lệnh ngoài","Recursive Subquery (đệ quy) — truy vấn lặp đi lặp lại nhiều lần cho đến khi bảng Customers không còn dữ liệu","1"
"6","Trong SQL, sự khác biệt về mặt hoạt động và hiệu năng giữa hai câu lệnh: `TRUNCATE TABLE employees;` và `DELETE FROM employees;` là gì?","","DA SQL","TRUNCATE là lệnh DDL, nó không kích hoạt các trigger DELETE, giải phóng không gian lưu trữ trực tiếp và chỉ ghi log ở mức page deallocation nên không thể rollback từng dòng độc lập và chạy cực nhanh.","TRUNCATE xóa toàn bộ dòng dữ liệu bằng cách giải phóng các data blocks và không ghi log chi tiết cho từng dòng (DDL) nên cực nhanh; DELETE xóa từng dòng dữ liệu và ghi log rollback (DML) nên chậm hơn","TRUNCATE xóa cấu trúc bảng; DELETE xóa dữ liệu và giữ lại cấu trúc bảng rỗng","TRUNCATE có thể khôi phục lại dữ liệu bằng lệnh ROLLBACK; DELETE không thể khôi phục lại dữ liệu","TRUNCATE chỉ chạy được khi bảng không có dữ liệu; DELETE chạy được trên mọi bảng","1"
"7","Khi thực hiện chuyển đổi dữ liệu (ETL), hiện tượng ""Late Arriving Dimension"" là gì và BA/DA giải quyết thế nào?","","DA SQL","Khi giao dịch (Fact) xuất hiện nhưng thông tin khách hàng (Dim) chưa được tạo ở kho dữ liệu, để tránh lỗi khóa ngoại hoặc mất giao dịch, ta tạo một bản ghi Dim rỗng tạm thời để liên kết, tránh gián đoạn luồng ETL.","Dữ liệu Fact (giao dịch) đến kho dữ liệu trước khi dữ liệu Dimension (thông tin đối tượng liên quan) được cập nhật. Giải pháp: Tạo bản ghi Dimension tạm thời (placeholder/dummy record) với các thông tin mặc định, sau đó cập nhật lại khi dữ liệu thật đến","Dữ liệu Dimension đến trễ hơn so với lịch trình hàng ngày của hệ thống. Giải pháp: Hủy bỏ toàn bộ các giao dịch phát sinh trong ngày hôm đó","Cơ sở dữ liệu bị quá tải khiến các câu lệnh JOIN bị chạy chậm hơn bình thường. Giải pháp: Tăng kích thước bộ nhớ RAM của máy chủ","Dữ liệu kiểu Date/Time bị sai múi giờ giữa hệ thống nguồn và đích. Giải pháp: Sử dụng hàm CONVERT múi giờ sang UTC","1"
"8","Bạn có bảng Logs chứa hàng chục triệu bản ghi và cần xóa các log cũ hơn 3 năm một cách định kỳ mà không làm khóa bảng (table lock) gây gián đoạn hệ thống. Giải pháp nào tối ưu nhất?","","DA SQL","Xóa một lượng lớn dữ liệu bằng một lệnh DELETE đơn lẻ sẽ chiếm dụng khóa lớn và ghi log khổng lồ gây treo DB. Việc xóa theo lô (batching) hoặc sử dụng Partitioning (DROP Partition là DDL cực nhanh) là giải pháp tối ưu cho dữ liệu lớn.","Chia nhỏ dữ liệu cần xóa thành các lô nhỏ (chunking/batching) sử dụng vòng lặp kết hợp LIMIT trong giao dịch để xóa dần dần, hoặc sử dụng phân vùng bảng (Partitioning) để DROP phân vùng cũ trực tiếp","Chạy một câu lệnh `DELETE FROM Logs WHERE log_date &lt; DATE_SUB(NOW(), INTERVAL 3 YEAR);` vào giờ cao điểm","Tạo một bảng mới, copy toàn bộ dữ liệu log mới sang bảng đó rồi dùng DROP TABLE bảng Logs cũ ngay lập tức","Tắt hoàn toàn cơ sở dữ liệu trong vòng 1 ngày để thực hiện việc dọn dẹp dữ liệu cũ","1"
"9","Lập chỉ mục (Index) trên một cột chứa quá nhiều giá trị trùng lặp (độ chọn lọc thấp - Low Cardinality, ví dụ cột `gender`) có hiệu quả không?","","DA SQL","Độ chọn lọc (Cardinality) cao thì Index mới hoạt động tốt. Nếu một giá trị chiếm 50% số dòng của bảng, quét Index rồi quay lại bảng gốc để lấy dữ liệu (Bookmark Lookup) sẽ chậm hơn quét tuần tự từ đầu đến cuối.","Không hiệu quả — Database Optimizer sẽ bỏ qua Index này và thực hiện quét toàn bộ bảng (Table Scan) vì chi phí đọc Index cộng với việc nhảy dòng (Lookup) cao hơn quét trực tiếp","Cực kỳ hiệu quả — giúp tăng tốc độ tìm kiếm giới tính lên gấp đôi trong mọi trường hợp","Bắt buộc phải tạo — vì mọi cột trong cơ sở dữ liệu quan hệ đều cần có Index để tối ưu","Chỉ hiệu quả khi cột đó được định nghĩa là khóa chính của bảng","1"
"10","Trong SQL, cơ chế hoạt động của mệnh đề `SELECT 1 FROM table_name;` khác gì so với `SELECT * FROM table_name;` khi đặt trong mệnh đề EXISTS?","","DA SQL","Hầu hết các hệ quản trị CSDL tối ưu hóa EXISTS bằng cách bỏ qua danh sách cột được chọn trong câu truy vấn con, vì EXISTS chỉ trả về TRUE/FALSE dựa trên việc có dòng nào khớp điều kiện hay không.","Không có sự khác biệt về kết quả và hiệu năng trong hầu hết các SQL engine hiện đại vì EXISTS chỉ kiểm tra sự tồn tại (dòng có xuất hiện hay không) chứ không lấy dữ liệu cột","SELECT 1 chạy nhanh hơn gấp 10 lần vì nó không tốn bộ nhớ RAM để tải các cột dữ liệu","SELECT * sẽ báo lỗi cú pháp nếu bảng table_name có chứa các cột kiểu dữ liệu BLOB hoặc CLOB","SELECT 1 bắt buộc phải có điều kiện lọc khóa chính đi kèm mới hoạt động được","1"
