"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một hệ thống e-commerce cần API cho cả web app và mobile app. Khi mobile gửi request lấy danh sách sản phẩm, chỉ cần id, name, price. Nhưng web cần thêm description và images. Giải pháp API nào tối ưu nhất?","","Web-API","Field selection/sparse fieldsets: ?fields=id,name,price cho mobile. Hoặc GraphQL cho phép client chỉ định chính xác data cần. Tránh tạo 2 endpoint riêng vì khó maintain.","Tạo 2 API endpoint riêng biệt","Nén response để giảm kích thước","Luôn trả về tất cả fields","Field selection qua query params (?fields=id,name,price) hoặc dùng GraphQL để client chọn data cần thiết","4"
"2","Một API public nhận 10.000 request/giây trong giờ cao điểm. Server bắt đầu trả response chậm và timeout. Chiến lược nào giải quyết toàn diện nhất?","","Web-API","Kết hợp: Rate limiting (giới hạn request/client), Caching (Redis/CDN cho data ít thay đổi), Load balancing (phân tải nhiều server), Queue (xử lý async cho task nặng).","Chỉ cần nâng cấp server mạnh hơn","Chỉ cần thêm rate limiting","Rate limiting + Caching + Load balancing + Message queue cho task nặng","Block tất cả request khi quá tải","3"
"3","Một developer thiết kế API cho chức năng tìm kiếm sản phẩm với nhiều filter (category, price range, brand, rating). Nên dùng GET hay POST? Tại sao?","","Web-API","GET phù hợp: tìm kiếm là read operation (idempotent), filter đặt trong query params, URL có thể bookmark/cache. POST chỉ dùng khi query quá dài vượt giới hạn URL (~2000 chars).","Luôn dùng POST vì có nhiều params","Dùng DELETE để filter","Dùng PUT cho search","GET vì tìm kiếm là read operation, cacheable, bookmarkable — POST chỉ khi query quá dài","4"
"4","JWT được lưu ở đâu trên client thì an toàn nhất? So sánh localStorage, sessionStorage và httpOnly cookie.","","Web-API","httpOnly cookie an toàn nhất: không bị XSS đọc được (không truy cập được từ JS). localStorage/sessionStorage dễ bị XSS. Cookie cần thêm Secure, SameSite flag chống CSRF.","localStorage vì dễ dùng","sessionStorage vì mất khi đóng tab","httpOnly cookie vì không bị XSS đọc, kết hợp Secure và SameSite flag chống CSRF","Lưu trong biến JavaScript global","3"
"5","Một hệ thống có API gateway phía trước 5 microservices. Khi một service bị chậm/down, toàn bộ hệ thống bị ảnh hưởng. Pattern nào giúp cách ly lỗi?","","Web-API","Circuit Breaker Pattern: khi phát hiện service lỗi liên tục → mở circuit (ngừng gọi) → trả fallback response → thử lại sau timeout. Tránh cascading failure toàn hệ thống.","Retry liên tục cho đến khi service hoạt động","Circuit Breaker Pattern: ngừng gọi service lỗi, trả fallback response, thử lại sau timeout","Tắt tất cả services khác","Gửi email thông báo cho admin","2"
"6","API của bạn cần xử lý upload file lớn (video 2GB). Thiết kế API endpoint như thế nào để xử lý hiệu quả?","","Web-API","Chunked upload: chia file thành nhiều phần nhỏ (chunks), upload từng phần, server ghép lại. Hỗ trợ resume khi mất kết nối. Dùng multipart/form-data hoặc tus protocol.","Chunked upload: chia file thành parts nhỏ, upload từng part, hỗ trợ resume — dùng multipart hoặc tus protocol","Gửi toàn bộ file trong 1 request POST","Base64 encode rồi gửi qua JSON","Lưu file vào URL rồi gửi link","1"
"7","Một API endpoint GET /users/{id} cần trả về 404 khi user không tồn tại và 400 khi id format sai. Thiết kế response error nào là best practice?","","Web-API","Consistent error response: {error: {code: 'USER_NOT_FOUND', message: 'User with id X not found', status: 404}}. Dùng đúng HTTP status code + error body có machine-readable code + human-readable message.","Trả về status 200 với message lỗi","Đúng HTTP status code + error body có machine-readable code và human-readable message","Chỉ cần trả status code","Trả về HTML error page","2"
"8","Khi thiết kế RESTful API, URL nào tuân thủ best practices?","","Web-API","Best practices: dùng danh từ số nhiều (/users, /products), lowercase, dùng hyphen (-) cho multi-word, dùng path params cho resource ID, query params cho filter/sort/pagination.","GET /users/123 — danh từ số nhiều, lowercase, path param cho ID","GET /getUser/123","GET /user_get?id=123","POST /fetchUsers","1"
"9","HATEOAS trong REST là gì và tại sao một số API không áp dụng?","","Web-API","HATEOAS (Hypermedia As The Engine Of Application State): response chứa links đến các action tiếp theo. Ưu: client tự discover API. Nhược: phức tạp, tăng payload size, ít client tận dụng.","Response chứa links đến action tiếp theo giúp client discover API — nhưng phức tạp và tăng payload size","Một giao thức bảo mật","Một kiểu database","Một thư viện JavaScript","1"
"10","Một ứng dụng mobile cần gọi API nhưng kết nối mạng không ổn định. Chiến lược retry nào phù hợp nhất?","","Web-API","Exponential backoff with jitter: retry sau 1s, 2s, 4s, 8s... (exponential) + thêm random delay (jitter) tránh thundering herd. Giới hạn số lần retry. Chỉ retry cho lỗi 5xx/timeout.","Retry ngay lập tức liên tục","Exponential backoff with jitter: tăng dần thời gian chờ + random delay, giới hạn số lần retry, chỉ retry lỗi 5xx","Retry cố định mỗi 1 giây","Không retry, báo lỗi ngay","2"
