"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Git là hệ thống version control loại nào và khác SVN ở kiến trúc nào?","","Git","Git là DVCS (Distributed): mỗi developer có full copy repository. SVN là Centralized: chỉ server có full history. Git hoạt động offline, SVN cần kết nối server.","Centralized — chỉ server có repo, developer chỉ có working copy; SVN là distributed","Git chạy trên cloud; SVN chạy on-premise — khác ở deployment model","Distributed — mỗi developer có full copy repo, hoạt động offline; SVN centralized cần server","Git và SVN đều centralized — chỉ khác ở giao diện command line","3"
"2","Git và GitHub khác nhau ở chức năng cốt lõi nào?","","Git","Git: tool version control chạy local (command line). GitHub: nền tảng hosting online cho Git repos, thêm PR, issues, CI/CD, wiki, collaboration. Tương tự: GitLab, Bitbucket.","Git là tool version control local; GitHub là hosting platform thêm PR, issues, CI/CD, collaboration","GitHub là phiên bản mới hơn thay thế Git — Git đã deprecated","Git chỉ cho open source; GitHub cho private repos — phân chia theo license type","Git là frontend; GitHub là backend — hai phần của cùng hệ thống","1"
"3","Các khu vực (areas) trong Git workflow là gì và file di chuyển qua chúng thế nào?","","Git","Working Directory (sửa file) → git add → Staging Area (chuẩn bị commit) → git commit → Local Repo → git push → Remote Repo. Ngược: git pull/fetch → git checkout.","Working Directory → Staging Area → Local Repository → Remote Repository (git add → commit → push)","Chỉ có Working Directory và Remote — git push trực tiếp từ working lên remote","Chỉ có Staging và Repository — không có working directory trong Git modern","Local Repository → Staging Area → Working Directory → Remote (commit trước rồi mới edit)","1"
"4","git checkout có những chức năng nào?","","Git","Chuyển nhánh (git checkout branch-name). Khôi phục file (git checkout -- file). Tạo + chuyển nhánh (git checkout -b new-branch). Git 2.23+ tách thành git switch và git restore.","Chỉ để merge hai nhánh — checkout nghĩa là kiểm tra trước khi merge","Chỉ để xoá nhánh không còn sử dụng — checkout nghĩa là check out (loại bỏ)","Chuyển nhánh, khôi phục file, tạo + chuyển nhánh mới — Git 2.23+ tách thành switch và restore","Chỉ để tạo nhánh mới — không thể chuyển giữa nhánh đã tồn tại","3"
"5","git stash giải quyết vấn đề gì khi đang code dở?","","Git","Lưu tạm thay đổi chưa commit vào stack, trả working directory về clean state. Dùng khi cần chuyển nhánh giữa chừng. git stash pop khôi phục. Hỗ trợ nhiều stash entries.","Commit thay đổi vào nhánh temporary tự động — giống git commit nhưng tạm thời","Push thay đổi lên remote mà không commit — giống git push nhưng bypass staging","Xoá vĩnh viễn thay đổi chưa commit — giống git checkout -- nhưng cho toàn bộ repo","Lưu tạm thay đổi chưa commit vào stack, clean working directory — git stash pop khôi phục","4"
"6","git pull và git fetch khác nhau ở bước merge nào?","","Git","git fetch: tải changes từ remote về local tracking branches nhưng KHÔNG merge vào working branch. git pull = fetch + merge: tải VÀ tự động merge. Fetch an toàn hơn để review trước.","fetch tải về KHÔNG merge, an toàn review trước; pull = fetch + merge tự động vào working branch","fetch merge tự động; pull chỉ tải về — tên gọi ngược thực tế","fetch và pull hoạt động giống nhau — chỉ khác alias cho cùng command","fetch chỉ tải metadata; pull tải actual file content — khác ở depth of download","1"
"7","Git Flow: nhánh main, develop, feature, release, hotfix có vai trò gì?","","Git","main: production code. develop: integration branch. feature/*: phát triển tính năng từ develop. release/*: chuẩn bị release từ develop. hotfix/*: fix urgent bug từ main.","Tất cả branches đều deploy được — không có branch nào đặc biệt hơn","main: production; develop: integration; feature: tính năng; release: chuẩn bị deploy; hotfix: fix urgent từ main","Chỉ cần main và feature — develop/release/hotfix là overhead không cần thiết","main: phát triển; develop: production — main cho dev, develop cho deploy","2"
"8","Merge conflict xảy ra khi nào và Git không tự resolve được?","","Git","Conflict khi 2+ branches sửa CÙNG DÒNG trong CÙNG FILE hoặc 1 branch xoá file mà branch khác sửa. Git không tự quyết chọn thay đổi nào → developer resolve thủ công.","Khi commit message trùng nhau — Git không cho phép duplicate commit messages","Khi 2+ branches sửa cùng dòng cùng file — Git không tự quyết → developer resolve thủ công","Khi push code mà remote có commits mới — luôn xảy ra conflict khi push","Khi tạo branch mới — Git conflict vì 2 branches cùng tồn tại","2"
"9","git add đưa thay đổi vào khu vực nào trước khi commit?","","Git","git add di chuyển thay đổi từ Working Directory → Staging Area (Index). Staging cho phép chọn lọc thay đổi nào muốn commit (partial staging). git add . thêm tất cả.","Từ Remote vào Working Directory — tải code về máy local","Từ Working Directory vào Staging Area — cho phép chọn lọc thay đổi muốn commit","Từ Staging Area vào Local Repository — thực hiện commit thay đổi","Từ Local Repository vào Remote — push code lên server","2"
"10",".gitignore liệt kê file/folder nào và ảnh hưởng đến Git tracking thế nào?","","Git",".gitignore chỉ định patterns file/folder mà Git KHÔNG track. Thường bỏ: node_modules/, .env, build/, dist/, IDE configs (.idea/). File đã tracked phải git rm --cached trước.","Liệt kê file để encrypt trước khi push — giống security configuration","Liệt kê file Git ưu tiên track trước — giống priority list cho important files","Liệt kê file để tự động xoá khỏi repository — giống cleanup script","Liệt kê file Git không track (node_modules, .env, build) — file đã tracked cần git rm --cached","4"
