"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Phân biệt INNER JOIN, LEFT JOIN, RIGHT JOIN và FULL OUTER JOIN?","","Database","INNER: chỉ rows match cả hai bảng. LEFT: tất cả rows bảng trái + match bảng phải. RIGHT: ngược lại. FULL OUTER: tất cả rows cả hai bảng.","Tất cả đều giống nhau","INNER: match cả hai; LEFT: tất cả trái + match phải; RIGHT: ngược lại; FULL: tất cả cả hai","INNER lấy tất cả dữ liệu","LEFT và RIGHT giống nhau","2"
"2","Phân biệt WHERE và HAVING trong SQL?","","Database","WHERE lọc dữ liệu TRƯỚC khi nhóm (GROUP BY), áp dụng cho từng row. HAVING lọc SAU khi nhóm, áp dụng cho kết quả aggregate (SUM, COUNT, AVG). WHERE không dùng được với aggregate functions.","WHERE lọc trước GROUP BY cho từng row; HAVING lọc sau GROUP BY cho kết quả aggregate","Cả hai đều giống nhau","HAVING dùng trước GROUP BY","WHERE dùng với aggregate functions","1"
"3","Kết quả đầu ra khi thực thi lệnh Redis: ping 'sample'?","","Database","Lệnh PING trong Redis: không có argument → trả về PONG. Có argument → trả về chính argument đó. PING 'sample' → trả về 'sample'.","sample","connection refused","connection close","pong","1"
"4","Lệnh nào trong Redis chặn client 120 giây, đợi dữ liệu từ danh sách test1, hiển thị và đẩy sang test2?","","Database","BRPOPLPUSH: pop phần tử cuối từ list nguồn, push vào list đích, blocking với timeout. BRPOPLPUSH test1 test2 120 → chờ 120s, pop từ test1, push vào test2.","BRPOPLPUSH test1 test2 120","BRPOPLPUSH test1 test2 120 timeout","Insert test1 test2 120 timeout","BRLPUSH test1 test2 120","1"
"5","Ghép nối đúng: I.Rand, II.CHARINDEX, III.PI, IV.NOW với chức năng: A.Tìm vị trí chuỗi con, B.Số ngẫu nhiên, C.Ngày giờ hiện tại, D.Giá trị PI?","","Database","Rand→B (số ngẫu nhiên), CHARINDEX→A (tìm vị trí chuỗi con), PI→D (giá trị pi), NOW→C (ngày giờ hiện tại).","I-A, II-B, III-C, IV-D","I-B, II-C, III-A, IV-D","I-D, II-B, III-A, IV-C","I-B, II-A, III-D, IV-C","4"
"6","Khi nào KHÔNG nên tạo Index trên một cột?","","Database","Không nên index: bảng nhỏ (scan nhanh hơn), cột thường xuyên UPDATE/INSERT/DELETE, cột có ít giá trị phân biệt (low cardinality, ví dụ: gender), cột hiếm khi dùng trong WHERE.","Bảng nhỏ, cột thường UPDATE, cột ít giá trị phân biệt (low cardinality), cột hiếm dùng trong WHERE","Luôn nên tạo index trên mọi cột","Chỉ không nên index Primary Key","Không bao giờ nên tạo index","1"
"7","So sánh Stored Procedure và Inline SQL (viết query trực tiếp trong code)?","","Database","Stored Procedure: pre-compiled (nhanh hơn), tái sử dụng, bảo mật hơn (tránh SQL injection), giảm network traffic. Inline SQL: linh hoạt, dễ debug, phù hợp query đơn giản, nhưng dễ bị SQL injection nếu nối chuỗi.","Cả hai đều giống nhau","Inline SQL luôn nhanh hơn","Stored Procedure: pre-compiled/bảo mật/tái sử dụng; Inline SQL: linh hoạt/dễ debug nhưng dễ bị SQL injection","Stored Procedure không thể tái sử dụng","3"
"8","Phân biệt Clustered Index và Non-Clustered Index?","","Database","Clustered Index sắp xếp dữ liệu vật lý trên disk theo key (chỉ 1 per table, thường là PK). Non-Clustered Index tạo cấu trúc riêng chứa pointer đến dữ liệu (nhiều per table). Clustered nhanh hơn cho range queries.","Clustered: sắp xếp dữ liệu vật lý (1/table); Non-Clustered: cấu trúc riêng với pointer (nhiều/table)","Cả hai đều giống nhau","Non-Clustered sắp xếp dữ liệu vật lý","Clustered Index không dùng cho Primary Key","1"
"9","Sự khác biệt giữa DROP và TRUNCATE?","","Database","DROP: xoá hoàn toàn bảng (cấu trúc + dữ liệu). TRUNCATE: chỉ xoá dữ liệu, giữ cấu trúc bảng. DROP không rollback, TRUNCATE cũng thường không rollback (DDL).","Cả hai đều giống nhau","DROP xoá hoàn toàn bảng (cấu trúc + dữ liệu); TRUNCATE chỉ xoá dữ liệu, giữ cấu trúc","DROP chỉ xoá dữ liệu","TRUNCATE xoá cấu trúc bảng","2"
"10","Denormalization là gì và khi nào nên dùng?","","Database","Denormalization thêm trùng lặp dữ liệu có chủ đích để tăng tốc đọc (giảm JOIN). Dùng khi: đọc nhiều hơn ghi, query phức tạp cần tối ưu, reporting/analytics database.","Giống Normalization","Xoá dữ liệu trùng lặp","Thêm trùng lặp dữ liệu có chủ đích để tăng tốc đọc — dùng khi đọc nhiều hơn ghi","Mã hóa dữ liệu","3"
