"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Mô hình hộp (Box Model) trong CSS gồm những thành phần nào theo thứ tự từ trong ra ngoài?","","CSS","Box Model gồm 4 lớp từ trong ra ngoài: Content (nội dung) → Padding (đệm) → Border (viền) → Margin (lề ngoài).","Content → Margin → Border → Padding","Content → Border → Padding → Margin","Content → Padding → Border → Margin","Content → Padding → Margin → Border","3"
"2","Một developer muốn tạo khoảng cách giữa nội dung và viền của phần tử. Thuộc tính CSS nào phù hợp?","","CSS","Padding tạo khoảng cách giữa content và border (bên trong phần tử). Margin tạo khoảng cách bên ngoài border (giữa các phần tử). Border là đường viền, outline là viền bên ngoài border.","Margin — tạo khoảng cách bên trong giữa nội dung và đường viền","Padding — tạo khoảng cách bên trong giữa nội dung và đường viền","Border-spacing — tạo khoảng cách giữa nội dung và đường viền","Outline-offset — tạo khoảng cách giữa nội dung và đường viền","2"
"3","Khi sử dụng position: relative, phần tử sẽ hoạt động như thế nào trong layout?","","CSS","position: relative giữ phần tử trong luồng layout bình thường nhưng cho phép dịch chuyển bằng top/left/right/bottom so với vị trí gốc.","Phần tử bị loại khỏi luồng layout và định vị theo phần tử cha gần nhất có position","Phần tử giữ vị trí trong layout và có thể dịch chuyển so với vị trí gốc của nó","Phần tử bị loại khỏi luồng layout và định vị theo viewport của trình duyệt","Phần tử giữ vị trí trong layout nhưng không thể dịch chuyển bằng top/left","2"
"4","Một developer đặt z-index: 999 cho phần tử nhưng nó vẫn bị che bởi phần tử khác. Nguyên nhân phổ biến nhất là gì?","","CSS","z-index chỉ hoạt động với phần tử có position khác static. Nếu phần tử có position: static (mặc định), z-index sẽ bị bỏ qua hoàn toàn.","Giá trị z-index chưa đủ lớn, cần tăng lên z-index: 99999 để ghi đè","Phần tử đang có position: static nên z-index không có tác dụng","Thuộc tính z-index không hoạt động khi phần tử có display: block","Phần tử cần thêm thuộc tính overflow: visible để z-index có hiệu lực","2"
"5","Trong CSS Flexbox, thuộc tính justify-content dùng để căn chỉnh các item theo hướng nào?","","CSS","justify-content căn chỉnh theo trục chính (main axis). Mặc định trục chính là horizontal. align-items căn chỉnh theo trục phụ (cross axis).","Căn chỉnh theo trục phụ (cross axis), vuông góc với flex-direction","Căn chỉnh theo cả trục chính và trục phụ cùng một lúc","Căn chỉnh theo trục chính (main axis), cùng hướng với flex-direction","Căn chỉnh theo chiều dọc cố định bất kể giá trị flex-direction","3"
"6","Độ ưu tiên (Specificity) giữa các CSS Selector được sắp xếp từ cao đến thấp như thế nào?","","CSS","Specificity từ cao đến thấp: Inline style (1000) &gt; ID selector (100) &gt; Class/pseudo-class/attribute selector (10) &gt; Element/pseudo-element selector (1).","Inline style → Class selector → ID selector → Element selector","ID selector → Inline style → Element selector → Class selector","Element selector → Class selector → ID selector → Inline style","Inline style → ID selector → Class selector → Element selector","4"
"7","Khi sử dụng !important trong CSS, điều gì xảy ra với quy tắc cascade thông thường?","","CSS","!important ghi đè mọi quy tắc CSS khác bất kể specificity. Tuy nhiên nếu có nhiều !important thì specificity vẫn được so sánh giữa chúng.","Quy tắc có !important chỉ ghi đè được quy tắc cùng specificity hoặc thấp hơn","Quy tắc có !important chỉ áp dụng cho inline style và bỏ qua stylesheet","Quy tắc có !important ghi đè mọi quy tắc khác bất kể specificity thông thường","Quy tắc có !important chỉ có tác dụng trong cùng một file stylesheet","3"
"8","Một trang web cần tự động điều chỉnh layout phù hợp với cả desktop, tablet và mobile. Kỹ thuật CSS cốt lõi nào được sử dụng?","","CSS","Responsive Design sử dụng media queries kết hợp fluid layout (%, vw, vh) để tự động điều chỉnh giao diện theo kích thước màn hình.","CSS Animation với keyframes để tạo hiệu ứng chuyển đổi giữa các layout khác nhau","CSS Grid với grid-template-areas cố định cho từng thiết bị cụ thể","CSS Variables kết hợp calc() để tính toán kích thước phần tử động","Media queries kết hợp fluid layout để điều chỉnh giao diện theo kích thước màn hình","4"
"9","Thuộc tính overflow: auto trong CSS hoạt động khác gì so với overflow: scroll?","","CSS","overflow: auto chỉ hiện scrollbar khi nội dung thực sự tràn. overflow: scroll luôn hiện scrollbar dù nội dung có tràn hay không.","auto luôn hiện scrollbar, còn scroll chỉ hiện khi nội dung tràn ra ngoài","auto ẩn nội dung tràn hoàn toàn, còn scroll cho phép cuộn để xem","auto chỉ hiện scrollbar khi nội dung tràn, còn scroll luôn hiện scrollbar","auto áp dụng cho trục dọc, còn scroll áp dụng cho cả hai trục","3"
"10","Khi đặt * { box-sizing: border-box }, cách tính width và height của phần tử thay đổi như thế nào?","","CSS","border-box tính width/height bao gồm cả content + padding + border. Mặc định content-box chỉ tính content, padding và border cộng thêm bên ngoài.","Width/height chỉ tính phần content, padding và border được cộng thêm bên ngoài","Width/height bao gồm content và padding nhưng không tính border","Width/height bao gồm content, padding và border trong kích thước khai báo","Width/height bao gồm content, padding, border và cả margin","3"
