"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Bảng 10M records, query WHERE customer_id = 123 AND status = 'pending' mất 5s. Tối ưu nào hiệu quả nhất?","","Database","Composite index (customer_id, status): index bao phủ cả 2 điều kiện WHERE, giảm full table scan O(n) xuống index lookup O(log n). Thứ tự cột theo selectivity cao → thấp.","Composite index (customer_id, status) bao phủ cả 2 điều kiện — giảm full scan xuống index lookup","Tách thành 2 queries riêng: 1 filter customer_id, 1 filter status rồi intersect kết quả","Tăng RAM server và enable query cache — hardware solution cho performance","Chia bảng thành 10 bảng nhỏ theo alphabet customer name — manual partitioning","1"
"2","E-commerce: mỗi đơn hàng có nhiều sản phẩm, mỗi sản phẩm thuộc nhiều đơn. Thiết kế DB nào đúng?","","Database","Many-to-Many relationship cần junction table: Orders + Products + Order_Items (order_id FK, product_id FK, quantity, unit_price). Junction table resolve M:N thành 2 mối quan hệ 1:N.","Thêm cột product_ids (comma-separated) vào Orders — đơn giản và đủ cho M:N","Bảng trung gian Order_Items (order_id FK, product_id FK, quantity, price) resolve M:N relationship","Lưu products dạng JSON array trong Orders column — flexible schema","Duplicate product data vào mỗi order record — denormalization cho read performance","2"
"3","Optimistic Locking và Pessimistic Locking khác nhau ở chiến lược conflict resolution nào?","","Database","Pessimistic: lock row/table TRƯỚC khi đọc/sửa, chặn concurrent access → ít conflict nhưng giảm throughput. Optimistic: không lock, check version/timestamp KHI update → throughput cao nhưng retry khi conflict.","Pessimistic lock trước chặn concurrent → ít conflict low throughput; Optimistic không lock check version khi update → high throughput","Optimistic luôn lock exclusive; Pessimistic không bao giờ lock — tên gọi mô tả ngược behavior","Pessimistic dùng cho read; Optimistic dùng cho write — phân chia theo operation type","Pessimistic cho SQL databases; Optimistic cho NoSQL databases — phân chia theo database type","1"
"4","Full-text search trên cột text dài. B-tree index không hiệu quả vì sao?","","Database","B-tree optimize cho exact match và range queries, không cho substring/word search. Full-text index (FULLTEXT/GIN/tsvector) tokenize text, build inverted index → search bất kỳ word/phrase.","B-tree không hiệu quả cho text search; Full-text index tokenize text build inverted index cho word/phrase search","B-tree hiệu quả cho mọi data type kể cả text dài — performance issue do thiếu RAM","LIKE '%keyword%' đủ hiệu quả cho text dài — index không cần thiết","Hash index tốt hơn B-tree cho text search — chuyển sang hash index thay full-text","1"
"5","NoSQL (MongoDB) phù hợp hơn SQL (PostgreSQL) trong trường hợp nào?","","Database","NoSQL: schema linh hoạt, data ít quan hệ, horizontal scaling, document/key-value data, rapid prototyping. SQL: quan hệ phức tạp, ACID transactions, structured data, complex JOINs.","NoSQL cho schema linh hoạt, ít quan hệ, horizontal scale; SQL cho quan hệ phức tạp, ACID, structured data","NoSQL luôn nhanh hơn SQL vì không có overhead query planning và optimization","SQL chỉ cho small datasets; NoSQL chỉ cho big data — phân chia theo data volume","NoSQL thay thế hoàn toàn SQL — SQL là technology cũ deprecated","1"
"6","Database sharding chia data theo chiến lược nào?","","Database","Sharding chia data theo shard key (user_id range, geographic region, hash). Mỗi shard trên server riêng. Ưu: horizontal scaling. Nhược: cross-shard queries phức tạp, rebalancing khó.","Chia data theo shard key trên nhiều servers — horizontal scaling nhưng cross-shard queries phức tạp","Backup database ra nhiều copies trên nhiều servers — high availability không phải scaling","Nén data để fit vào single server — vertical optimization thay horizontal scaling","Cache frequent queries trong memory — application-level optimization không phải DB architecture","1"
"7","N+1 Query Problem gây ra vấn đề hiệu suất nào?","","Database","1 query lấy N items + N queries phụ cho mỗi item = N+1 queries total. Ví dụ: 100 orders → 1 SELECT orders + 100 SELECT customer WHERE id=?. Fix: JOIN, Eager loading, Batch IN clause.","N+1: 1 query chính + N queries phụ cho mỗi item; fix bằng JOIN, Eager loading, hoặc Batch IN clause","N+1: query trả về N+1 columns thay vì N expected — fix bằng SELECT specific columns","N+1: query timeout sau N+1 giây — fix bằng tăng timeout configuration","N+1: N+1 tables bị lock đồng thời — fix bằng reduce transaction scope","1"
"8","Master-Slave Replication có hạn chế nào về data consistency?","","Database","Master xử lý writes, Slaves replicate + xử lý reads. Hạn chế: replication lag (Slave có thể đọc stale data), single point of failure nếu Master down, write bottleneck (chỉ 1 Master).","Master write + Slaves read; hạn chế: replication lag (stale reads), Master single point of failure","Master read + Slaves write; hạn chế: write conflicts khi nhiều Slaves ghi đồng thời","Master và Slaves đều read+write; hạn chế: data duplication tốn storage","Slaves luôn có data mới nhất real-time; hạn chế: chỉ network bandwidth","1"
"9","Bảng Logs 500M records 5 năm query chậm. Giải pháp kiến trúc nào?","","Database","Table partitioning theo time range (monthly/yearly): query chỉ scan relevant partition. Archive old data. Proper indexing on partition key + query columns. Time-series DB cho use case này.","Table partitioning theo time + archive old data + proper indexing hoặc time-series DB","Tăng RAM server lên 1TB để fit toàn bộ table trong memory","Xoá records cũ hơn 1 năm mà không backup — giảm table size nhanh nhất","Create materialized view cho mọi possible query pattern — pre-compute results","1"
"10","Connection Pooling giảm overhead nào so với tạo connection mỗi request?","","Database","Mỗi connection mới: TCP 3-way handshake + TLS negotiation + DB authentication + allocate resources. Connection Pool tạo sẵn, reuse → skip overhead cho mỗi request. Limit concurrent connections.","Tạo sẵn connections reuse → skip TCP/TLS/auth overhead mỗi request; limit concurrent connections tránh overload","Tạo connection mới nhanh hơn reuse vì pool management có overhead lớn hơn connection creation","Pool chỉ cần cho NoSQL databases; SQL databases không cần vì connections nhẹ","Pool tự động scale số connections vô hạn theo demand — không cần configuration limit","1"
